NOMBRE DEL INVESTIGADOR,NOMBRE DEL INVESTIGADOR PATENTE,SIMILARITY,NOMBRE_INVESTIGADOR_NORM,NOMBRE_PATENTE_NORM,ES_MISMA_PERSONA,SCORE,DETALLES
"ABSALON CONSTANTINO,ANGEL EDUARDO","ABSALON CONSTANTINO,ANGEL EDUARDO",100,"ABSALON CONSTANTINO,ANGEL EDUARDO","ABSALON CONSTANTINO,ANGEL EDUARDO",False,40.0,Similitud Nombre (100%)
"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",100,"ABURTO ANELL,JORGE ARTURO","ABURTO ANELL,JORGE ARTURO",False,60.0,Institución
"ACEVES DIEZ,ANGEL EMILIO","ACEVES DIEZ,ANGEL EMILIO",100,"ACEVES DIEZ,ANGEL EMILIO","ACEVES DIEZ,ANGEL EMILIO",False,40.0,Sin coincidencias
"RIVAS ACEVES,SALVADOR","ACEVES,SALVADOR M",7.777.777.777.777.770,"RIVAS ACEVES,SALVADOR","ACEVES,SALVADOR M",False,37.6,Similitud Nombre (94%)
"ACOSTA GONZALEZ,GUILLERMO ENRIQUE","ACOSTA GONZALEZ,GUILLERMO ENRIQUE",100,"ACOSTA GONZALEZ,GUILLERMO ENRIQUE","ACOSTA GONZALEZ,GUILLERMO ENRIQUE",False,40.0,Sin coincidencias
"ACOSTA SALMON,HECTOR","ACOSTA SALMON,HECTOR",100,"ACOSTA SALMON,HECTOR","ACOSTA SALMON,HECTOR",False,40.0,Similitud Nombre (100%)
"ADAMS,RANDY HOWARD","ADAMS,RANDY HOWARD",100,"ADAMS,RANDY HOWARD","ADAMS,RANDY HOWARD",False,60.0,Institución
"AGUILA HERNANDEZ,JACINTO","AGUILA HERNANDEZ,JACINTO",100,"AGUILA HERNANDEZ,JACINTO","AGUILA HERNANDEZ,JACINTO",False,60.0,Institución
"AGUILAR ELGUEZABAL,ALFREDO","AGUILAR ELGUEZABAL,ALFREDO",100,"AGUILAR ELGUEZABAL,ALFREDO","AGUILAR ELGUEZABAL,ALFREDO",False,40.0,Sin coincidencias
"AGUILAR ESCALANTE,RODOLFO ANTONIO","AGUILAR ESCALANTE,RODOLFO ANTONIO",100,"AGUILAR ESCALANTE,RODOLFO ANTONIO","AGUILAR ESCALANTE,RODOLFO ANTONIO",True,80.0,"Institución, Fecha"
"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILAR FAISAL,JOSE LEOPOLDO",100,"AGUILAR FAISAL,JOSE LEOPOLDO","AGUILAR FAISAL,JOSE LEOPOLDO",False,40.0,Similitud Nombre (100%)
"AGUILAR MENDOZA,GUILLERMO","AGUILAR MENDOZA,GUILLERMO",100,"AGUILAR MENDOZA,GUILLERMO","AGUILAR MENDOZA,GUILLERMO",False,40.0,Similitud Nombre (100%)
"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",100,"AGUILAR PLIEGO,JULIA","AGUILAR PLIEGO,JULIA",False,60.0,Institución
"AGUILAR TOALA,JOSE ELEAZAR","AGUILAR TOALA,JOSE ELEAZAR",100,"AGUILAR TOALA,JOSE ELEAZAR","AGUILAR TOALA,JOSE ELEAZAR",False,40.0,Similitud Nombre (100%)
"AGUILAR VEGA,MANUEL DE JESUS","AGUILAR VEGA,MANUEL DE JESUS",100,"AGUILAR VEGA,MANUEL DE JESUS","AGUILAR VEGA,MANUEL DE JESUS",False,40.0,Sin coincidencias
"AGUILAR GONZALEZ,ALBERTO","AGUILAR,ALBERT",7.658.862.876.254.180,"AGUILAR GONZALEZ,ALBERTO","AGUILAR,ALBERT",True,80.0,"Institución, Fecha"
"AGUILAR LOPEZ,ANTONIO","AGUILAR,ANTONIO",85,"AGUILAR LOPEZ,ANTONIO","AGUILAR,ANTONIO",False,40.0,Sin coincidencias
"PEREZ AGUILAR,BENJAMIN","AGUILAR,BENJAMIN",85,"PEREZ AGUILAR,BENJAMIN","AGUILAR,BENJAMIN",False,40.0,Sin coincidencias
"AYON AGUILAR,JORGE","AGUILAR,JORGE",8.684.210.526.315.780,"AYON AGUILAR,JORGE","AGUILAR,JORGE",False,60.0,Institución
"AGUILAR RIVERA,JOSE ANTONIO","AGUILAR,JOSE ANTONIO",8.333.333.333.333.330,"AGUILAR RIVERA,JOSE ANTONIO","AGUILAR,JOSE ANTONIO",False,40.0,Sin coincidencias
"GOMEZ AGUILAR,JOSE FRANCISCO","AGUILAR,JOSE FRANCISCO",85,"GOMEZ AGUILAR,JOSE FRANCISCO","AGUILAR,JOSE FRANCISCO",False,60.0,Institución
"AGUILAR JIMENEZ,JOSE ROBERTO","AGUILAR,JOSE ROBERTO",8.181.818.181.818.180,"AGUILAR JIMENEZ,JOSE ROBERTO","AGUILAR,JOSE ROBERTO",False,60.0,Institución
"SANCHEZ AGUILAR,MARIO","AGUILAR,MARIO",8.181.818.181.818.180,"SANCHEZ AGUILAR,MARIO","AGUILAR,MARIO",False,40.0,Sin coincidencias
"AGUILAR MEJIA,OMAR","AGUILAR,OMAR",85,"AGUILAR MEJIA,OMAR","AGUILAR,OMAR",False,60.0,Institución
"MORA AGUILAR,RAFAEL","AGUILAR,RAFAEL",8.684.210.526.315.780,"MORA AGUILAR,RAFAEL","AGUILAR,RAFAEL",False,60.0,Institución
"AGUILERA CORTES,LUZ ANTONIO","AGUILERA CORTES,LUZ ANTONIO",100,"AGUILERA CORTES,LUZ ANTONIO","AGUILERA CORTES,LUZ ANTONIO",False,60.0,Institución
